"party","Vote_change_dummy","Vote6","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_6_minus","Contribution_6_plus","state","BioID","seniority_116","birthday","Geographical","nominate_dim1","nominate_dim2","Vote6_minus","Vote6_plus","Vote6_NA"
"D",0,1,NA,NA,NA,NA,19000,0,"CA","C001110",2,1958,"WE",-0.29,0.234,0,1,0
"D",0,1,NA,NA,NA,NA,12500,0,"DE","B001303",2,1962,"SO",-0.347,-0.153,0,1,0
"R",1,0,NA,NA,NA,NA,1500,0,"FL","G000578",2,1982,"SO",0.598,-0.646,1,0,0
"R",0,0,NA,NA,NA,NA,2500,0,"FL","D000628",2,1953,"SO",0.503,0.371,1,0,0
"R",0,0,NA,NA,NA,NA,3500,0,"FL","R000609",2,1952,"SO",0.426,0.068,1,0,0
"D",0,1,NA,NA,NA,NA,1500,0,"FL","L000586",2,1948,"SO",-0.26,0.076,0,1,0
"D",0,1,NA,NA,NA,NA,7550,1000,"FL","M001202",2,1978,"SO",-0.161,0.123,0,1,0
"D",0,1,NA,NA,NA,NA,2500,0,"FL","S001200",2,1978,"SO",-0.361,0.167,0,1,0
"D",0,1,NA,NA,NA,NA,3500,0,"FL","D000627",2,1957,"SO",-0.322,-0.006,0,1,0
"D",0,1,NA,NA,NA,NA,11200,0,"FL","C001111",2,1956,"SO",-0.227,0.079,0,1,0
"R",0,1,NA,NA,NA,NA,24407,0,"FL","M001199",2,1980,"SO",0.462,-0.359,0,1,0
"R",0,0,NA,NA,NA,NA,18200,0,"GA","F000465",2,1966,"SO",0.597,0.22,1,0,0
"D",0,1,NA,NA,NA,NA,32250,0,"IL","K000391",2,1973,"MW",-0.328,-0.03,0,1,0
"R",0,0,NA,NA,NA,NA,11000,0,"IN","B001299",2,1979,"MW",0.651,0.058,1,0,0
"R",0,0,NA,NA,NA,NA,11000,0,"IN","H001074",2,1983,"MW",0.417,-0.243,1,0,0
"R",0,0,NA,NA,NA,NA,63350,0,"KS","E000298",2,1956,"MW",0.643,0.058,1,0,0
"R",0,0,NA,NA,29450,0,15500,5000,"KY","C001108",3,1972,"SO",0.595,-0.039,1,0,0
"R",0,0,NA,NA,NA,NA,10100,0,"LA","H001077",2,1961,"SO",0.627,-0.31,1,0,0
"R",0,0,NA,NA,NA,NA,27950,0,"LA","J000299",2,1972,"SO",0.566,-0.01,1,0,0
"D",0,1,NA,NA,NA,NA,16750,250,"MD","B001304",2,1961,"SO",-0.344,-0.063,0,1,0
"D",0,1,NA,NA,NA,NA,0,0,"MD","R000606",2,1962,"SO",-0.521,-0.245,0,1,0
"R",0,0,NA,NA,NA,NA,22511,0,"MI","B001301",2,1947,"MW",0.436,0.079,1,0,0
"R",0,0,NA,NA,NA,NA,11996,1000,"NE","B001298",2,1963,"MW",0.294,0.156,1,0,0
"D",0,1,NA,NA,NA,NA,21100,0,"NJ","G000583",2,1975,"NE",-0.158,0.223,0,1,0
"D",0,1,NA,NA,NA,NA,4500,0,"NY","S001201",2,1962,"NE",-0.219,0.087,0,1,0
"D",0,1,NA,NA,NA,NA,0,0,"NY","E000297",2,1954,"NE",-0.583,-0.21,0,1,0
"R",0,NA,NA,NA,NA,NA,NA,NA,"NY","T000478",1,1961,"NE",0.456,0.032,NA,NA,1
"R",0,0,NA,NA,NA,NA,NA,NA,"NC","B001305",NA,NA,"SO",NA,NA,1,0,0
"D",0,1,NA,NA,13300,5400,3500,0,"PA","E000296",3,1954,"NE",-0.47,-0.135,0,1,0
"R",0,1,NA,NA,NA,NA,33350,0,"PA","F000466",2,1973,"NE",0.142,-0.122,0,1,0
"R",0,0,NA,NA,NA,NA,24000,0,"PA","S001199",2,1964,"NE",0.45,0.112,1,0,0
"R",0,0,NA,NA,NA,NA,6000,0,"SC","N000190",2,1953,"SO",0.848,-0.367,1,0,0
"R",0,0,NA,NA,NA,NA,6000,0,"TN","K000392",2,1966,"SO",0.535,0.372,1,0,0
"D",1,1,NA,NA,NA,NA,18500,0,"TX","G000581",2,1967,"SO",-0.388,0.755,0,1,0
"R",0,0,NA,NA,NA,NA,54178,2500,"TX","A000375",2,1972,"SO",0.642,0.003,1,0,0
"D",0,1,NA,NA,NA,NA,19500,250,"VA","M001200",2,1961,"SO",-0.381,-0.017,0,1,0
"D",0,1,NA,NA,NA,NA,0,1000,"WA","J000298",2,1965,"WE",-0.646,-0.466,0,1,0
"R",0,0,NA,NA,NA,NA,28750,0,"WI","G000579",2,1984,"MW",0.438,0.004,1,0,0
"R",0,0,NA,NA,NA,NA,61100,0,"WY","C001109",2,1966,"WE",0.405,0.82,1,0,0
"D",0,1,NA,NA,NA,NA,14500,0,"PA","L000588",2,1984,"NE",-0.143,0.212,0,1,0
"R",0,0,NA,NA,NA,NA,16000,2000,"UT","C001114",2,1960,"WE",0.448,0.156,1,0,0
"D",0,1,NA,NA,NA,NA,8500,0,"AZ","S001211",1,1970,"WE",-0.284,0.247,0,1,0
"D",0,1,NA,NA,NA,NA,6550,0,"CA","H001090",1,1986,"WE",-0.352,0.572,0,1,0
"D",0,1,NA,NA,NA,NA,1385,0,"CA","P000618",1,1974,"WE",-0.224,-0.278,0,1,0
"D",0,1,NA,NA,NA,NA,8535,3635,"CA","L000593",1,1978,"WE",-0.338,0.156,0,1,0
"D",0,1,NA,NA,NA,NA,1010,0,"CO","N000191",1,1984,"WE",-0.396,-0.215,0,1,0
"D",0,1,NA,NA,NA,NA,5600,0,"CO","C001121",1,1979,"WE",-0.319,0.209,0,1,0
"D",0,1,NA,NA,NA,NA,0,0,"CT","H001081",1,1973,"NE",-0.316,-0.132,0,1,0
"R",1,1,NA,NA,NA,NA,7000,0,"FL","W000823",1,1974,"SO",0.442,-0.117,0,1,0
"R",0,0,NA,NA,NA,NA,3500,0,"FL","S001214",1,1978,"SO",0.689,-0.284,1,0,0
"D",0,1,NA,NA,NA,NA,3800,0,"GA","M001208",1,1960,"SO",-0.322,0.258,0,1,0
"D",0,1,NA,NA,NA,NA,3500,0,"HI","C001055",4,1952,"WE",-0.198,-0.083,0,1,0
"D",0,1,NA,NA,NA,NA,1000,0,"IL","G000586",1,1956,"MW",-0.43,-0.893,0,1,0
"D",0,1,NA,NA,NA,NA,10600,5750,"IL","C001117",1,1971,"MW",-0.652,0.497,0,1,0
"D",0,1,NA,NA,NA,NA,0,0,"IL","U000040",1,1986,"MW",-0.58,0.449,0,1,0
"R",0,0,NA,NA,NA,NA,2000,0,"IN","B001307",1,1945,"MW",0.449,0.61,1,0,0
"R",0,0,NA,NA,NA,NA,22850,0,"IN","P000615",1,1956,"MW",0.506,0.151,1,0,0
"D",0,1,NA,NA,NA,NA,8600,1000,"IA","A000378",1,1965,"MW",-0.25,0.528,0,1,0
"D",0,1,NA,NA,NA,NA,3250,1000,"KS","D000629",1,1980,"MW",-0.269,0.267,0,1,0
"D",0,1,NA,NA,NA,NA,1250,0,"ME","G000592",1,1982,"NE",-0.11,0.374,0,1,0
"D",0,1,NA,NA,NA,NA,1250,0,"MA","T000482",1,1973,"NE",-0.421,-0.174,0,1,0
"D",0,1,NA,NA,NA,NA,800,0,"MA","P000617",1,1974,"NE",-0.349,-0.937,0,1,0
"D",0,1,NA,NA,NA,NA,9900,0,"MI","S001208",1,1976,"MW",-0.321,0.738,0,1,0
"D",0,1,NA,NA,NA,NA,3500,0,"MI","L000592",1,1960,"MW",-0.474,-0.563,0,1,0
"D",0,1,NA,NA,NA,NA,14900,250,"MI","S001215",1,1983,"MW",-0.378,0.284,0,1,0
"D",0,1,NA,NA,NA,NA,5800,0,"MI","T000481",1,1976,"MW",-0.291,-0.957,0,1,0
"R",0,0,NA,NA,NA,NA,20488,0,"MN","H001088",1,1962,"MW",0.477,0.345,1,0,0
"D",0,1,NA,NA,NA,NA,6500,0,"MN","C001119",1,1972,"MW",-0.27,0.645,0,1,0
"D",0,1,NA,NA,NA,NA,0,250,"MN","P000616",1,1969,"MW",-0.28,0.181,0,1,0
"D",0,1,NA,NA,NA,NA,3512,0,"MN","O000173",1,1981,"MW",-0.298,-0.955,0,1,0
"R",0,0,NA,NA,NA,NA,24788,0,"MN","S001212",1,1966,"MW",0.383,-0.112,1,0,0
"R",0,0,NA,NA,NA,NA,19300,0,"MS","G000591",1,1970,"SO",0.528,0.1,1,0,0
"D",0,1,NA,NA,NA,NA,7375,250,"NV","L000590",1,1966,"WE",-0.235,0.31,0,1,0
"D",0,1,NA,NA,NA,NA,0,0,"NH","P000614",1,1980,"NE",-0.237,0.343,0,1,0
"R",0,1,NA,NA,NA,NA,9000,0,"NJ","V000133",1,1953,"NE",-0.147,0.644,0,1,0
"D",0,1,NA,NA,NA,NA,1000,250,"NJ","K000394",1,1982,"NE",-0.357,0.288,0,1,0
"D",0,1,NA,NA,NA,NA,11650,1000,"NJ","M001203",1,1965,"NE",-0.272,0.121,0,1,0
"D",0,1,NA,NA,NA,NA,5000,0,"NJ","S001207",1,1972,"NE",-0.225,0.263,0,1,0
"D",0,1,NA,NA,NA,NA,642,0,"NY","O000172",1,1989,"NE",-0.299,-0.954,0,1,0
"D",0,1,NA,NA,NA,NA,2000,0,"NY","D000630",1,1977,"NE",-0.233,0.277,0,1,0
"D",0,1,NA,NA,NA,NA,4500,0,"NY","M001206",2,1957,"NE",-0.329,0.157,0,1,0
"R",0,0,NA,NA,NA,NA,41300,0,"ND","A000377",1,1976,"MW",0.449,0.101,1,0,0
"R",0,0,NA,NA,NA,NA,39188,0,"OH","B001306",2,1962,"MW",0.455,0.214,1,0,0
"R",0,0,NA,NA,NA,NA,29410,0,"OH","G000588",1,1984,"MW",0.24,0.315,1,0,0
"D",0,1,NA,NA,NA,NA,2000,0,"PA","D000631",1,1959,"NE",-0.453,-0.031,0,1,0
"D",0,1,NA,NA,NA,NA,0,0,"PA","S001205",2,1959,"NE",-0.475,-0.082,0,1,0
"D",0,1,NA,NA,NA,NA,2900,0,"PA","H001085",1,1967,"NE",-0.275,0.322,0,1,0
"D",0,1,NA,NA,NA,NA,0,0,"PA","W000826",2,1957,"NE",-0.262,0.324,0,1,0
"R",0,0,NA,NA,NA,NA,4000,0,"PA","M001204",1,1964,"NE",0.494,0.248,1,0,0
"R",0,0,NA,NA,NA,NA,23950,0,"PA","K000395",1,1965,"NE",0.498,0.171,1,0,0
"R",0,0,NA,NA,NA,NA,12000,0,"PA","J000302",1,1957,"NE",0.569,0,1,0,0
"R",0,0,NA,NA,NA,NA,58800,0,"PA","R000610",1,1983,"NE",0.437,0.063,1,0,0
"R",0,0,NA,NA,NA,NA,5000,0,"SC","T000480",1,1984,"SO",0.604,0.139,1,0,0
"R",0,0,NA,NA,NA,NA,14500,0,"SD","J000301",1,1976,"MW",0.462,0.142,1,0,0
"R",0,0,NA,NA,NA,NA,17000,0,"TN","B001309",1,1964,"SO",0.664,-0.383,1,0,0
"R",0,0,NA,NA,NA,NA,1500,1000,"TN","R000612",1,1965,"SO",0.668,0.105,1,0,0
"R",0,0,NA,NA,NA,NA,10593,0,"TN","G000590",1,1964,"SO",0.671,0.015,1,0,0
"R",0,0,NA,NA,NA,NA,105988,2800,"TX","C001120",1,1984,"SO",0.431,0.268,1,0,0
"R",0,0,NA,NA,NA,NA,119474,8100,"TX","T000479",1,1972,"SO",0.581,-0.223,1,0,0
"R",0,0,NA,NA,NA,NA,33100,0,"TX","G000589",1,1982,"SO",0.746,-0.066,1,0,0
"D",0,1,NA,NA,NA,NA,52650,250,"TX","F000468",1,1975,"SO",-0.454,0.891,0,1,0
"D",0,1,NA,NA,NA,NA,1000,0,"TX","E000299",1,1969,"SO",-0.466,-0.316,0,1,0
"R",0,0,NA,NA,NA,NA,67588,0,"TX","R000614",1,1972,"SO",0.8,-0.6,1,0,0
"D",0,1,NA,NA,NA,NA,16500,0,"TX","G000587",1,1950,"SO",-0.797,0.454,0,1,0
"D",0,1,NA,NA,NA,NA,19735,0,"TX","A000376",1,1983,"SO",-0.43,0.708,0,1,0
"D",0,1,NA,NA,NA,NA,2800,5600,"VA","L000591",1,1975,"SO",-0.206,0.426,0,1,0
"R",0,0,NA,NA,NA,NA,9600,0,"VA","C001118",1,1972,"SO",0.72,-0.202,1,0,0
"D",0,1,NA,NA,NA,NA,8860,0,"VA","S001209",1,1979,"SO",-0.188,0.338,0,1,0
"D",0,1,NA,NA,NA,NA,2800,0,"VA","W000825",1,1968,"SO",-0.369,0.313,0,1,0
"D",0,1,NA,NA,NA,NA,3100,1000,"WA","S001216",1,1968,"WE",-0.288,0.449,0,1,0
"R",0,0,NA,NA,NA,NA,35000,0,"WV","M001205",1,1950,"SO",0.517,0.108,1,0,0
"R",0,0,NA,NA,NA,NA,23143,0,"WI","S001213",1,1981,"MW",0.414,0.068,1,0,0
"R",0,0,15000,0,9750,0,5500,0,"AL","R000591",5,1976,"SO",0.362,0.658,1,0,0
"R",0,NA,21000,750,NA,NA,NA,NA,"AZ","S000018",5,1958,"WE",0.673,-0.272,NA,NA,1
"R",0,NA,6100,0,7250,0,NA,NA,"AZ","F000448",8,1957,"WE",0.749,0.087,NA,NA,1
"R",0,0,8800,500,18400,0,9500,2800,"CA","C001094",4,1943,"WE",0.372,0.208,1,0,0
"R",0,NA,25950,0,100099,2500,NA,NA,"CA","D000612",4,1967,"WE",0.306,0.212,NA,NA,1
"D",0,NA,8550,1300,9700,110,NA,NA,"CA","H001034",8,1941,"WE",-0.529,-0.482,NA,NA,1
"D",0,NA,8100,1000,0,0,NA,NA,"CA","F000030",12,1941,"WE",-0.455,-0.219,NA,NA,1
"R",0,NA,NA,NA,NA,NA,NA,NA,"CA",NA,NA,NA,"WE",NA,NA,NA,NA,1
"D",0,NA,5500,0,0,0,NA,NA,"CA","C001036",10,1938,"WE",-0.389,-0.227,NA,NA,1
"D",0,NA,7000,1000,2500,0,NA,NA,"CA","B000287",13,1958,"WE",-0.512,-0.283,NA,NA,1
"R",0,NA,17500,0,23000,1000,NA,NA,"CA","R000487",13,1951,"WE",0.657,-0.353,NA,NA,1
"D",0,NA,3500,0,0,0,NA,NA,"CA","H001063",3,1952,"WE",-0.39,-0.376,NA,NA,1
"D",0,NA,8900,0,9450,100,NA,NA,"CA","S000030",10,1960,"WE",-0.367,0.025,NA,NA,1
"R",0,NA,8200,1000,1000,0,NA,NA,"CA","R000409",15,1947,"WE",0.626,-0.417,NA,NA,1
"R",0,0,8100,0,26500,0,1500,0,"CA","H001048",6,1976,"WE",0.539,0.085,1,0,0
"D",0,1,2600,0,2500,0,0,0,"CA","D000598",10,1944,"WE",-0.343,-0.103,0,1,0
"D",0,NA,0,0,350,0,NA,NA,"CO","P000598",5,1975,"WE",-0.278,-0.692,NA,NA,1
"R",0,0,68000,0,62850,0,19288,0,"CO","T000470",5,1956,"WE",0.451,-0.023,1,0,0
"R",1,NA,99050,250,68911,500,NA,NA,"CO","C001077",5,1955,"WE",0.492,-0.213,NA,NA,1
"D",0,NA,3000,2600,9125,0,NA,NA,"CT","E000293",3,1959,"NE",-0.315,-0.078,NA,NA,1
"D",0,NA,5000,0,0,0,NA,NA,"DE","C001083",3,1956,"SO",-0.256,-0.142,NA,NA,1
"R",0,NA,9000,0,NA,NA,NA,NA,"FL","M001144",8,1959,"SO",0.633,0.155,NA,NA,1
"R",0,0,3000,0,9900,0,1500,0,"FL","Y000065",4,1955,"SO",0.704,-0.365,1,0,0
"R",0,NA,2500,0,5000,0,NA,NA,"FL","C001045",8,1944,"SO",0.333,0.337,NA,NA,1
"D",0,NA,0,0,NA,NA,NA,NA,"FL","B000911",12,1946,"SO",-0.429,0.192,NA,NA,1
"R",0,NA,10000,0,43125,0,NA,NA,"FL","D000621",3,1978,"SO",0.663,-0.105,NA,NA,1
"R",0,NA,23500,0,5800,0,NA,NA,"FL","M000689",12,1943,"SO",0.453,0.137,NA,NA,1
"D",0,NA,0,250,1231,100,NA,NA,"FL","G000556",3,1958,"SO",-0.363,-0.457,NA,NA,1
"R",0,NA,13750,0,0,0,NA,NA,"FL","N000185",3,1951,"SO",0.483,0.077,NA,NA,1
"R",0,NA,8500,0,9000,0,NA,NA,"FL","R000593",4,1959,"SO",0.531,0.099,NA,NA,1
"R",0,NA,5500,0,13000,0,NA,NA,"FL","R000583",5,1970,"SO",0.458,0.013,NA,NA,1
"D",0,NA,12400,0,3050,13075,NA,NA,"FL","M001191",2,1983,"SO",-0.186,-0.026,NA,NA,1
"R",1,NA,0,0,1500,0,NA,NA,"FL","R000435",15,1952,"SO",0.244,-0.225,NA,NA,1
"R",0,NA,4500,0,0,0,NA,NA,"GA","W000796",6,1950,"SO",0.672,0.189,NA,NA,1
"D",0,1,2750,0,2500,0,4670,0,"GA","L000287",17,1940,"SO",-0.589,-0.221,0,1,0
"R",0,NA,23500,0,14500,0,NA,NA,"GA","P000591",7,1954,"SO",0.644,-0.073,NA,NA,1
"R",0,0,4500,0,18000,0,3000,0,"GA","W000810",5,1970,"SO",0.593,-0.173,1,0,0
"R",0,0,12000,0,27450,0,11000,0,"GA","C001093",4,1966,"SO",0.61,0.134,1,0,0
"R",0,0,8500,0,13750,0,23250,0,"GA","G000560",6,1970,"SO",0.716,-0.002,1,0,0
"D",0,NA,21050,2500,250,0,NA,NA,"HI","H001050",4,1951,"WE",-0.37,0.004,NA,NA,1
"D",0,1,5300,5100,1250,3000,10134,500,"HI","G000571",4,1981,"WE",-0.274,-0.282,0,1,0
"R",0,NA,2500,0,11200,0,NA,NA,"ID","L000573",4,1967,"WE",0.735,-0.571,NA,NA,1
"D",0,1,5000,0,3000,0,23500,0,"IL","L000563",8,1966,"MW",-0.227,0.176,0,1,0
"D",0,NA,0,0,5400,0,NA,NA,"IL","G000535",13,1953,"MW",-0.487,-0.26,NA,NA,1
"R",1,NA,43300,0,20850,0,NA,NA,"IL","R000580",6,1961,"MW",0.429,0.018,NA,NA,1
"D",0,NA,NA,NA,NA,NA,NA,NA,"IL",NA,NA,NA,"MW",NA,NA,NA,NA,1
"R",0,NA,16000,250,22000,0,NA,NA,"IL","H001059",4,1966,"MW",0.49,-0.034,NA,NA,1
"R",0,0,106500,6000,215482,10600,103500,0,"IL","S000364",12,1958,"MW",0.375,0.154,1,0,0
"D",0,1,8500,500,28000,1500,7500,0,"IN","V000108",17,1949,"MW",-0.402,0.244,0,1,0
"R",0,NA,12850,17600,63755,2000,NA,NA,"IN","S001188",4,1976,"MW",0.742,-0.119,NA,NA,1
"R",0,NA,15100,500,16350,0,NA,NA,"IN","R000592",4,1970,"MW",0.602,-0.16,NA,NA,1
"R",0,0,4000,0,24700,5000,13000,0,"IN","B001284",4,1960,"MW",0.352,0.217,1,0,0
"R",0,NA,11100,0,28500,500,NA,NA,"IN","M001189",3,1969,"MW",0.563,-0.086,NA,NA,1
"R",0,NA,NA,NA,NA,NA,NA,NA,"IN",NA,NA,NA,"MW",NA,NA,NA,NA,1
"D",0,1,4750,0,4100,4500,12000,1000,"IA","L000565",7,1952,"MW",-0.276,-0.027,0,1,0
"R",0,0,2000,0,5550,11800,0,0,"IA","K000362",9,1949,"MW",0.613,0.171,1,0,0
"R",0,NA,22550,500,10200,0,NA,NA,"KS","H001057",3,1968,"MW",0.744,-0.466,NA,NA,1
"R",0,NA,102500,0,55750,2250,NA,NA,"KS","J000290",5,1963,"MW",0.523,0.004,NA,NA,1
"R",0,NA,32000,11900,10900,10000,NA,NA,"KS","Y000063",4,1976,"MW",0.558,0.03,NA,NA,1
"R",0,NA,212050,12400,45750,0,NA,NA,"KS","P000602",4,1963,"MW",0.66,0.164,NA,NA,1
"R",0,NA,151000,6000,NA,NA,NA,NA,"KY","W000413",11,1943,"SO",0.303,0.182,NA,NA,1
"R",0,NA,65700,0,172737,1500,NA,NA,"LA","B001255",6,1956,"SO",0.392,0.308,NA,NA,1
"R",0,NA,62750,0,39550,500,NA,NA,"LA","F000456",4,1951,"SO",0.59,0.022,NA,NA,1
"D",0,NA,1000,0,460,1225,NA,NA,"MD","E000290",5,1958,"SO",-0.562,-0.294,NA,NA,1
"D",0,NA,7500,0,5500,0,NA,NA,"MD","D000620",3,1963,"SO",-0.276,0.041,NA,NA,1
"D",0,1,38800,0,9000,0,4500,0,"MD","C000984",13,1951,"SO",-0.438,-0.148,0,1,0
"D",0,NA,NA,NA,NA,NA,NA,NA,"MD",NA,NA,NA,"SO",NA,NA,NA,NA,1
"D",0,NA,0,0,1250,0,NA,NA,"MA","T000465",6,1946,"NE",-0.396,-0.199,NA,NA,1
"D",0,1,5450,0,14400,0,6450,0,"MA","K000379",4,1980,"NE",-0.421,-0.206,0,1,0
"D",0,NA,0,0,1000,0,NA,NA,"MA","C001037",10,1952,"NE",-0.58,-0.082,NA,NA,1
"R",0,NA,64700,0,0,0,NA,NA,"MI","B001271",3,1952,"MW",0.491,-0.15,NA,NA,1
"R",0,0,2500,0,7100,0,1250,0,"MI","A000367",5,1980,"MW",0.654,-0.757,1,0,0
"D",0,NA,8500,1000,28500,2000,NA,NA,"MI","L000263",16,1931,"MW",-0.379,-0.091,NA,NA,1
"R",0,NA,16000,0,0,0,NA,NA,"MI","M001150",7,1954,"MW",0.343,-0.001,NA,NA,1
"D",0,NA,6500,0,1000,0,NA,NA,"MI","C000714",16,1929,"MW",-0.658,-0.512,NA,NA,1
"D",0,NA,9500,2000,16500,2000,NA,NA,"MN","W000799",6,1964,"MW",-0.275,0.131,NA,NA,1
"R",0,NA,10000,0,1000,0,NA,NA,"MN","K000363",7,1947,"MW",0.49,0.154,NA,NA,1
"R",0,NA,22800,0,36499,333,NA,NA,"MN","P000594",5,1965,"MW",0.402,-0.191,NA,NA,1
"D",0,NA,2050,250,1680,0,NA,NA,"MN","E000288",6,1963,"MW",-0.537,-0.58,NA,NA,1
"D",0,1,7000,0,24200,0,12000,0,"MN","P000258",15,1944,"MW",-0.148,0.712,0,1,0
"D",0,NA,9750,0,13650,0,NA,NA,"MN","N000127",3,1943,"MW",-0.372,-0.372,NA,NA,1
"R",0,NA,84300,0,31400,0,NA,NA,"MS","H001045",5,1956,"SO",0.384,0.48,NA,NA,1
"D",0,1,NA,NA,NA,NA,NA,NA,"MO",NA,NA,NA,"MW",NA,NA,0,1,0
"R",0,NA,12500,0,213703,0,NA,NA,"NV","H001055",3,1961,"WE",0.324,0.014,NA,NA,1
"D",0,NA,500,0,NA,NA,NA,NA,"NH","S001170",4,1952,"NE",-0.315,-0.131,NA,NA,1
"R",0,NA,4000,250,9000,0,NA,NA,"NJ","L000554",12,1946,"NE",0.211,-0.224,NA,NA,1
"R",0,NA,19000,10400,12100,0,NA,NA,"NJ","G000548",7,1959,"NE",0.688,-0.243,NA,NA,1
"R",1,NA,6000,0,17575,0,NA,NA,"NJ","L000567",5,1952,"NE",0.329,-0.237,NA,NA,1
"R",0,NA,32480,500,20677,100,NA,NA,"NJ","F000372",12,1946,"NE",0.292,-0.262,NA,NA,1
"D",0,NA,9200,0,9500,3000,NA,NA,"NM","L000580",3,1959,"WE",-0.313,0.047,NA,NA,1
"R",0,NA,92500,0,97406,0,NA,NA,"NM","P000588",7,1947,"WE",0.472,0.064,NA,NA,1
"D",0,1,NA,NA,NA,NA,NA,NA,"NM",NA,NA,NA,"WE",NA,NA,0,1,0
"R",0,0,2000,2000,6000,0,10511,0,"NY","K000210",14,1944,"NE",0.259,-0.03,1,0,0
"D",0,NA,8500,8950,2000,0,NA,NA,"NY","I000057",8,1958,"NE",-0.334,-0.051,NA,NA,1
"D",0,NA,3000,0,0,0,NA,NA,"NY","R000053",15,1930,"NE",-0.514,-0.341,NA,NA,1
"D",0,NA,23000,9050,33000,35,NA,NA,"NY","C001038",10,1962,"NE",-0.412,-0.07,NA,NA,1
"D",0,1,0,0,0,0,1000,0,"NY","S000248",16,1943,"NE",-0.491,-0.377,0,1,0
"D",0,1,2000,0,15000,1000,7000,0,"NY","E000179",16,1947,"NE",-0.408,-0.093,0,1,0
"D",0,1,500,0,0,0,6700,0,"NY","L000480",16,1937,"NE",-0.389,-0.152,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,"NY",NA,NA,NA,"NE",NA,NA,0,1,0
"R",0,NA,NA,NA,NA,NA,NA,NA,"NY",NA,NA,NA,"NE",NA,NA,NA,NA,1
"R",1,NA,3250,0,0,0,NA,NA,"NY","H001051",3,1951,"NE",0.215,-0.145,NA,NA,1
"D",0,NA,4500,2500,2000,0,NA,NA,"NY","S000480",16,1929,"NE",-0.465,-0.104,NA,NA,1
"R",0,0,2000,0,33550,1000,0,0,"NY","C001092",4,1950,"NE",0.357,0.236,1,0,0
"R",0,NA,11000,0,30500,2000,NA,NA,"NC","E000291",3,1964,"SO",0.406,0.338,NA,NA,1
"R",0,NA,27000,1000,12800,0,NA,NA,"NC","P000606",3,1948,"SO",0.561,0.333,NA,NA,1
"R",0,0,2500,0,6500,0,3850,0,"NC","M001187",4,1959,"SO",0.605,-0.201,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,"NC",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,NA,NA,NA,NA,NA,NA,NA,"ND",NA,NA,NA,"MW",NA,NA,NA,NA,1
"R",0,NA,53150,0,45800,0,NA,NA,"OH","T000462",9,1962,"MW",0.386,-0.026,NA,NA,1
"R",0,NA,29750,300,39480,1000,NA,NA,"OH","R000586",4,1958,"MW",0.387,0.143,NA,NA,1
"R",0,NA,10750,0,18000,0,NA,NA,"OK","B001283",3,1975,"SO",0.689,-0.157,NA,NA,1
"R",0,0,43250,2000,85850,0,105000,0,"OR","W000791",11,1957,"WE",0.333,-0.011,1,0,0
"D",0,NA,0,0,20275,0,NA,NA,"PA","B001227",11,1945,"NE",-0.484,0.225,NA,NA,1
"R",1,NA,19000,5400,26700,6500,NA,NA,"PA","M001181",4,1955,"NE",0.22,0.076,NA,NA,1
"R",0,NA,25900,3000,0,0,NA,NA,"PA","F000451",4,1963,"NE",0.202,-0.186,NA,NA,1
"R",0,NA,106850,1000,127362,0,NA,NA,"PA","S001154",9,1961,"NE",0.374,0.323,NA,NA,1
"R",0,NA,NA,NA,NA,NA,NA,NA,"PA",NA,NA,NA,"NE",NA,NA,NA,NA,1
"R",0,NA,13050,0,27000,0,NA,NA,"PA","B001269",4,1956,"NE",0.278,0.393,NA,NA,1
"R",0,NA,81850,0,45450,0,NA,NA,"PA","R000598",3,1962,"NE",0.498,0.044,NA,NA,1
"R",0,NA,56919,0,21500,0,NA,NA,"PA","D000604",7,1960,"NE",0.244,-0.085,NA,NA,1
"R",0,NA,34000,0,0,0,NA,NA,"PA","P000373",10,1939,"NE",0.538,0.012,NA,NA,1
"R",0,NA,74250,0,53250,1000,NA,NA,"PA","M001151",8,1952,"NE",0.258,0.198,NA,NA,1
"R",1,NA,12600,0,2000,0,NA,NA,"SC","S000051",6,1960,"SO",0.686,-0.728,NA,NA,1
"R",0,NA,9500,0,15200,0,NA,NA,"SC","G000566",4,1964,"SO",0.655,-0.002,NA,NA,1
"R",0,NA,15500,0,11500,0,NA,NA,"SC","M001182",4,1967,"SO",0.75,-0.592,NA,NA,1
"R",0,NA,48650,6700,37950,1000,NA,NA,"SD","N000184",4,1971,"MW",0.398,0.326,NA,NA,1
"R",0,0,4500,0,500,0,500,0,"TN","R000582",6,1945,"SO",0.486,0.024,1,0,0
"R",0,NA,6500,0,4000,2000,NA,NA,"TN","D000533",16,1947,"SO",0.604,-0.476,NA,NA,1
"R",0,NA,27625,0,23000,0,NA,NA,"TN","B001273",4,1951,"SO",0.58,0.219,NA,NA,1
"R",0,NA,NA,NA,NA,NA,NA,NA,"TN",NA,NA,NA,"SO",NA,NA,NA,NA,1
"R",0,NA,13000,0,0,0,NA,NA,"TN","F000458",3,1973,"SO",0.526,0.181,NA,NA,1
