District,Party,"Member_of_Congress",BioID,GovtrackID,"2021_Score","Lifetime_Score","Certifying","Certifying","Impeachment","Protecting","Votin","Protecting","Protecting","Washington","Increasing","Corporate","Repealing","Removing","Investing","Building","Investing in Transportation and Water Infrastructure  (208)","Protecting People from PFAS (217)","Pro-Environment Funding Package (247)","Restoring the Voting Rights Act (260)","Taking Action on PFAS Contamination  (272)","Censuring Paul Gosar (379)","Transformative Climate, Jobs, and Justice Investments (2x Score) (385)","Transformative Climate, Jobs, and Justice Investments  (385)","Supporting Tribal Management of Bison (427)"
NJ-05,D,"Gottheimer, Josh",G000583,412714,100,90,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-06,D,"Pallone, Frank",P000034,400308,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-07,D,"Malinowski, Tom",M001203,412798,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-08,D,"Sires, Albio",S001165,412186,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-09,D,"Pascrell, Bill",P000096,400309,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-10,D,"Payne, Donald",P000604,412506,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-11,D,"Sherrill, Mikie",S001207,412799,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-12,D,"Watson Coleman, Bonnie",W000822,412644,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OH-AL,R,"Carey, Mike",C001126,456864,25,25,,,,,,,,,,,,,,,,,,,,-,-,-,+
OH-AL,D,"Brown, Shontel",B001313,456863,100,100,,,,,,,,,,,,,,,,,,,,+,+,+,+
OH-01,R,"Chabot, Steve",C000266,400071,17,12,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
OH-02,R,"Wenstrup, Brad",W000815,412564,22,4,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
OH-03,D,"Beatty, Joyce",B001281,412565,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OH-04,R,"Jordan, Jim",J000289,412226,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,-,-,-,-,-
OH-05,R,"Latta, Bob",L000566,412256,22,4,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
OH-06,R,"Johnson, Bill",J000292,412460,13,5,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
OH-07,R,"Gibbs, Bob",G000563,412463,13,5,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
OH-08,R,"Davidson, Warren",D000626,412675,4,4,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-
OH-09,D,"Kaptur, Marcy",K000009,400211,100,84,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OH-10,R,"Turner, Michael",T000463,400411,22,11,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+
OH-11,D,"Fudge, Marcia",F000455,412327,100,93,+,+,+,+,+,+,,,,,,,,,,,,,,,,,
OH-12,R,"Balderson, Troy",B001306,412747,22,14,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
OH-13,D,"Ryan, Tim",R000577,400352,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OH-14,R,"Joyce, David",J000295,412566,17,12,+,?,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,?,-,-,+
OH-15,R,"Stivers, Steve",S001187,412461,25,9,+,+,-,-,-,-,-,?,,,,,,,,,,,,,,,
OH-16,R,"Gonzalez, Anthony",G000588,412807,26,25,+,+,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
NH-01,D,"Pappas, Chris",P000614,412795,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NH-02,D,"Kuster, Ann",K000382,412557,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MN-01,R,"Hagedorn, Jim",H001088,412788,9,7,-,-,-,-,-,-,-,-,+,-,-,-,?,?,?,-,-,-,-,-,-,-,+
MN-02,D,"Craig, Angie",C001119,412789,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MN-03,D,"Phillips, Dean",P000616,412790,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MN-04,D,"McCollum, Betty",M001143,400259,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MN-05,D,"Omar, Ilhan",O000173,412791,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MN-06,R,"Emmer, Tom",E000294,412639,22,5,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
MN-07,R,"Fischbach, Michelle",F000470,456828,9,9,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
MN-08,R,"Stauber, Pete",S001212,412792,22,18,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
WI-01,R,"Steil, Bryan",S001213,412836,22,21,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
WI-02,D,"Pocan, Mark",P000607,412585,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WI-03,D,"Kind, Ron",K000188,400218,100,90,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WI-04,D,"Moore, Gwen",M001160,400661,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WI-05,R,"Fitzgerald, Scott",F000471,456855,4,4,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WI-06,R,"Grothman, Glenn",G000576,412661,13,4,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WI-07,R,"Tiffany, Tom",T000165,456791,4,3,-,-,-,-,-,?,-,-,-,-,-,?,?,-,-,-,-,-,-,-,-,-,+
WI-08,R,"Gallagher, Mike",G000579,412731,23,10,+,+,-,-,-,-,-,-,+,-,-,n/a,-,-,-,+,-,-,-,-,-,-,+
AZ-01,D,"O'Halleran, Tom",O000171,412682,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AZ-02,D,"Kirkpatrick, Ann",K000368,412286,100,76,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AZ-03,D,"Grijalva, Raul",G000551,400162,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AZ-04,R,"Gosar, Paul",G000565,412397,0,4,-,-,-,-,-,-,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-
AZ-05,R,"Biggs, Andy",B001302,412683,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZ-06,R,"Schweikert, David",S001183,412399,17,7,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
AZ-07,D,"Gallego, Ruben",G000574,412612,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AZ-08,R,"Lesko, Debbie",L000589,412745,9,3,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,?,-,-,-,+
AZ-09,D,"Stanton, Greg",S001211,412753,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WY-AL,R,"Cheney, Liz",C001109,412732,30,6,+,+,+,-,-,-,-,-,+,-,-,+,-,?,?,-,-,-,-,+,-,-,+
GA-01,R,"Carter, Buddy",C001103,412622,6,4,-,-,-,-,-,-,-,-,n/a,-,n/a,n/a,n/a,-,-,n/a,-,-,-,-,-,-,+
GA-02,D,"Bishop, Sanford",B000490,400030,100,56,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
GA-03,R,"Ferguson, A.",F000465,412700,13,6,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GA-04,D,"Johnson, Hank",J000288,412199,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
GA-05,D,"Williams, Nikema",W000788,456811,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
GA-06,D,"McBath, Lucy",M001208,412769,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
GA-07,D,"Bourdeaux, Carolyn",B001312,456812,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
GA-08,R,"Scott, Austin",S001189,412417,17,4,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
GA-09,R,"Clyde, Andrew",C001116,456813,0,0,-,-,-,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GA-10,R,"Hice, Jody",H001071,412623,0,0,-,-,-,-,-,-,-,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-
GA-11,R,"Loudermilk, Barry",L000583,412624,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,-,+
GA-12,R,"Allen, Rick",A000372,412625,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GA-13,D,"Scott, David",S001157,400363,96,84,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
GA-14,R,"Greene, Marjorie",G000596,456814,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MD-01,R,"Harris, Andy",H001052,412434,0,3,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MD-02,D,"Ruppersberger, C.A. Dutch",R000576,400349,100,89,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MD-03,D,"Sarbanes, John",S001168,412212,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MD-04,D,"Brown, Anthony",B001304,412707,96,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,?,+,+,+,+,+,+
MD-05,D,"Hoyer, Steny",H000874,400189,100,83,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MD-06,D,"Trone, David",T000483,412783,95,97,+,?,+,+,+,+,+,+,+,+,n/a,+,+,+,+,+,+,+,+,+,+,+,+
MD-07,D,"Mfume, Kweisi",M000687,407672,100,88,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MD-08,D,"Raskin, Jamie",R000606,412708,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-01,R,"Gohmert, Louie",G000552,400651,4,4,-,-,-,-,-,-,?,-,-,-,-,?,?,?,?,-,-,-,-,-,-,-,+
TX-02,R,"Crenshaw, Dan",C001120,412820,17,15,+,+,-,-,-,-,-,-,+,?,-,+,-,-,-,-,-,-,-,-,-,-,-
TX-03,R,"Taylor, Van",T000479,412821,17,12,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-
TX-04,R,"Fallon, Pat",F000246,456845,4,4,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TX-05,R,"Gooden, Lance",G000589,412822,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TX-06,R,"Wright, Ron",W000827,412823,0,4,-,-,-,,,,,,,,,,,,,,,,,,,,
TX-06,R,"Ellzey, Jake",E000071,456862,17,17,,,,,,,,,,,,,,,,,,-,-,-,-,-,+
TX-07,D,"Fletcher, Lizzie",F000468,412824,96,90,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-08,R,"Brady, Kevin",B000755,400046,10,3,n/a,n/a,-,-,-,-,?,-,+,-,-,-,-,-,-,?,-,-,-,-,-,-,+
TX-09,D,"Green, Al",G000553,400653,100,88,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-10,R,"McCaul, Michael",M001157,400654,22,8,+,+,-,-,-,-,-,-,+,-,-,+,?,-,-,-,-,-,-,-,-,-,+
TX-11,R,"Pfluger, August",P000048,456846,0,0,-,-,-,-,-,-,-,-,-,-,-,?,?,-,-,-,-,-,-,-,-,-,-
TX-12,R,"Granger, Kay",G000377,400157,10,6,n/a,n/a,?,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
TX-13,R,"Jackson, Ronny",J000304,456847,0,0,-,-,-,-,-,-,-,-,-,-,-,?,?,?,?,-,-,-,-,-,-,-,-
TX-14,R,"Weber, Randy",W000814,412574,0,2,-,-,-,-,-,-,-,-,-,-,-,?,?,?,-,-,-,-,-,-,-,-,-
TX-15,D,"Gonzalez, Vicente",G000581,412725,91,82,+,+,+,-,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-16,D,"Escobar, Veronica",E000299,412825,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-17,R,"Sessions, Pete",S000250,400367,9,3,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
TX-18,D,"Jackson Lee, Sheila",J000032,400199,100,83,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-19,R,"Arrington, Jodey",A000375,412726,0,1,-,-,-,-,-,-,-,-,-,-,-,?,?,-,-,-,-,-,-,-,-,-,-
TX-20,D,"Castro, Joaquin",C001091,412576,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-21,R,"Roy, Chip",R000614,412826,9,3,+,+,-,-,-,-,-,-,-,-,-,?,?,?,?,-,-,-,-,-,-,-,-
TX-22,R,"Nehls, Troy",N000026,456848,4,4,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TX-23,R,"Gonzales, Tony",G000594,456849,22,22,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
TX-24,R,"Van Duyne, Beth",V000134,456850,13,13,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
TX-25,R,"Williams, Roger",W000816,412578,9,2,-,-,-,-,-,-,-,-,+,-,-,?,?,?,?,-,-,-,-,-,-,-,+
TX-26,R,"Burgess, Michael",B001248,400052,9,4,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,?,-,-,-,-
TX-27,R,"Cloud, Michael",C001115,412746,0,0,-,-,-,-,-,-,-,-,-,-,-,?,?,?,-,-,-,-,-,-,-,-,-
TX-28,D,"Cuellar, Henry",C001063,400657,91,50,+,+,+,+,+,-,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-29,D,"Garcia, Sylvia",G000587,412827,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-30,D,"Johnson, Eddie Bernice",J000126,400204,100,87,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-31,R,"Carter, John",C001051,400068,9,4,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
TX-32,D,"Allred, Colin",A000376,412828,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-33,D,"Veasey, Marc",V000131,412579,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-34,D,"Vela, Filemon",V000132,412580,100,79,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-35,D,"Doggett, Lloyd",D000399,400111,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-36,R,"Babin, Brian",B001291,412655,4,2,-,-,-,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
MT-AL,R,"Rosendale, Matt",R000103,456830,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AK-AL,R,"Young, Don",Y000033,400440,35,10,+,+,-,-,-,+,?,-,+,-,-,+,-,-,-,+,-,-,+,-,-,-,+
CO-01,D,"DeGette, Diana",D000197,400101,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CO-02,D,"Neguse, Joe",N000191,412761,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CO-03,R,"Boebert, Lauren",B000825,456805,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CO-04,R,"Buck, Ken",B001297,412619,9,3,+,?,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CO-05,R,"Lamborn, Doug",L000564,412191,9,4,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
CO-06,D,"Crow, Jason",C001121,412762,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CO-07,D,"Perlmutter, Ed",P000593,412192,100,88,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
ND-AL,R,"Armstrong, Kelly",A000377,412794,17,10,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,?,-,-,-,-,-,-,+
IL-01,D,"Rush, Bobby",R000515,400350,100,82,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-02,D,"Kelly, Robin",K000385,412595,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-03,D,"Newman, Marie",N000192,456819,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-04,D,"GarcÃ­a, JesÃºs",G000586,412774,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-05,D,"Quigley, Mike",Q000023,412331,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-06,D,"Casten, Sean",C001117,412775,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-07,D,"Davis, Danny",D000096,400093,96,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,?,+,+,+,+
IL-08,D,"Krishnamoorthi, Raja",K000391,412701,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-09,D,"Schakowsky, Jan",S001145,400360,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-10,D,"Schneider, Brad",S001190,412534,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-11,D,"Foster, Bill",F000454,412257,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-12,R,"Bost, Mike",B001295,412629,9,7,-,-,-,?,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
IL-13,R,"Davis, Rodney",D000619,412536,22,11,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
IL-14,D,"Underwood, Lauren",U000040,412776,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-15,R,"Miller, Mary",M001211,456820,0,0,-,-,-,-,?,-,-,-,-,-,-,?,?,-,-,-,-,-,-,-,-,-,-
IL-16,R,"Kinzinger, Adam",K000378,412421,26,9,+,+,+,?,-,-,?,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,?
IL-17,D,"Bustos, Cheri",B001286,412537,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-18,R,"LaHood, Darin",L000585,412674,17,5,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
NM-01,D,"Stansbury, Melanie",S001218,456861,100,100,,,,,,,,,,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NM-01,D,"Haaland, Debra",H001080,412800,100,98,+,+,+,+,+,+,,,,,,,,,,,,,,,,,
NM-02,R,"Herrell, Yvette",H001084,456834,0,0,-,-,-,-,-,-,-,-,-,-,-,?,?,-,-,-,-,-,-,-,-,-,-
NM-03,D,"Fernandez, Teresa",L000273,456835,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
UT-01,R,"Moore, Blake",M001213,456851,22,22,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,?,-,-,-,+
UT-02,R,"Stewart, Chris",S001192,412581,17,5,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
UT-03,R,"Curtis, John",C001114,412740,17,5,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
UT-04,R,"Owens, Burgess",O000086,456852,13,13,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,?,-,-,-,+
OR-01,D,"Bonamici, Suzanne",B001278,412501,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OR-02,R,"Bentz, Cliff",B000668,456842,17,17,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
OR-03,D,"Blumenauer, Earl",B000574,400033,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OR-04,D,"DeFazio, Peter",D000191,400100,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OR-05,D,"Schrader, Kurt",S001180,412315,91,74,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,-,+,+,+,+
CT-01,D,"Larson, John",L000557,400233,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CT-02,D,"Courtney, Joe",C001069,412193,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CT-03,D,"DeLauro, Rosa",D000216,400103,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CT-04,D,"Himes, Jim",H001047,412282,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CT-05,D,"Hayes, Jahana",H001081,412763,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AR-01,R,"Crawford, Rick",C001087,412400,9,5,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
AR-02,R,"Hill, French",H001072,412609,22,8,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
AR-03,R,"Womack, Steve",W000809,412402,17,5,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
AR-04,R,"Westerman, Bruce",W000821,412610,17,4,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
OK-01,R,"Hern, Kevin",H001082,412748,4,3,-,-,-,-,-,-,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-,+
OK-02,R,"Mullin, Markwayne",M001190,412568,9,2,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
OK-03,R,"Lucas, Frank",L000491,400247,9,5,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
OK-04,R,"Cole, Tom",C001053,400077,4,7,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
OK-05,R,"Bice, Stephanie",B000740,456841,9,9,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
IA-01,R,"Hinson, Ashley",H001091,456816,22,22,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
IA-02,R,"Miller-Meeks, Mariannette",M001215,456817,17,17,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
IA-03,D,"Axne, Cynthia",A000378,412772,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IA-04,R,"Feenstra, Randy",F000446,456818,17,17,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
MA-01,D,"Neal, Richard",N000015,400291,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-02,D,"McGovern, Jim",M000312,400263,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-03,D,"Trahan, Lori",T000482,412781,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-04,D,"Auchincloss, Jake",A000148,456825,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-05,D,"Clark, Katherine",C001101,412600,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-06,D,"Moulton, Seth",M001196,412632,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-07,D,"Pressley, Ayanna",P000617,412782,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-08,D,"Lynch, Stephen",L000562,400249,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-09,D,"Keating, Bill",K000375,412435,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IN-01,D,"Mrvan, Frank",M001214,456821,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IN-02,R,"Walorski, Jackie",W000813,412538,9,4,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
IN-03,R,"Banks, Jim",B001299,412702,0,1,-,-,-,-,-,-,-,-,-,-,-,?,?,-,-,-,-,-,-,-,-,-,-
IN-04,R,"Baird, James",B001307,412777,9,5,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
